t,P_LA(Pa),P_LV(Pa),P_AO(Pa),s_mitral,s_aortic,Q_mitral(m3/s),Q_aortic(m3/s),mode
0.0,0.0,1526.3438533780773,10660.661656615384,0.031723939757967785,8.461370252733952e-32,1.5549925302325434e-08,0.0,lv
0.001,0.0,1528.0629288936075,10655.536502863273,0.06171190753222892,1.6945562805440659e-31,2.9541690537442443e-08,0.0,lv
0.002,0.0,1532.7588584327293,10650.413977395137,0.08978877920523248,2.568646358281498e-31,4.017123497979019e-08,0.0,lv
0.003,0.0,1540.2017408741356,10645.29407886314,0.115802012400578,3.4937943622956486e-31,4.606347368551094e-08,0.0,lv
0.004,0.0,1550.276149154058,10640.176805920133,0.13960868878865562,4.499867677609473e-31,4.615674232279413e-08,0.0,lv
0.005,0.0,1562.9028136196412,10635.062157219661,0.16107203089859495,5.623722899496913e-31,3.969416432529583e-08,0.0,lv
0.006,0.0,1578.020648489257,10629.950131415959,0.18006225433338965,6.912429734030899e-31,2.6226388467574876e-08,0.0,lv
0.007,0.0,1595.579391372503,10624.84072716395,0.1964612360689396,8.427693284052937e-31,5.617513865654763e-09,0.0,lv
0.008,0.0,1615.5358577459476,10619.73394311925,0.2101709189599362,1.0252108366493484e-30,0.0,0.0,lv
0.009000000000000001,0.0,1637.8521004951979,10614.629777938164,0.2211250043493288,1.249818020260804e-30,0.0,0.0,lv
0.010000000000000002,0.0,1662.493603598633,10609.528230277683,0.2293027908260308,1.5321505034047046e-30,0.0,0.0,lv
0.011000000000000003,0.0,1689.4284224165228,10604.429298795489,0.23474284692256833,1.894027654857564e-30,0.0,0.0,lv
0.012000000000000004,0.0,1718.62662922931,10599.332982149952,0.2375533568196899,2.366448335354762e-30,0.0,0.0,lv
0.013000000000000005,0.0,1750.059853775801,10594.239279000132,0.237915805774207,2.994008844307088e-30,0.0,0.0,lv
0.014000000000000005,0.0,1783.7009410686674,10589.148188005773,0.23718134124706067,3.8416601097989956e-30,0.0,0.0,lv
0.015000000000000006,0.0,1819.52369062462,10584.059707827308,0.23566652125663262,5.005154162175148e-30,0.0,0.0,lv
0.016000000000000007,0.0,1857.5026539480205,10578.973837125857,0.23348285961078025,6.627368727557722e-30,0.0,0.0,lv
0.017000000000000008,0.0,1897.6129747745097,10573.89057456323,0.2307492534148375,8.924094491494753e-30,0.0,0.0,lv
0.01800000000000001,0.0,1939.8302613969784,10568.809918801915,0.22758290078182886,1.2225214725734863e-29,0.0,0.0,lv
0.01900000000000001,0.0,1984.130483524034,10563.731868505094,0.22409205077136254,1.704118622023611e-29,0.0,0.0,lv
0.02000000000000001,0.0,2030.4898882124412,10558.65642233663,0.2203713083824429,2.417154933504801e-29,0.0,0.0,lv
0.02100000000000001,0.0,2078.8849308490044,10553.583578961072,0.21649950070832094,3.4883996021949806e-29,0.0,0.0,lv
0.022000000000000013,0.0,2129.292218162737,10548.513337043656,0.2125396219049619,5.121315168686591e-29,0.0,0.0,lv
0.023000000000000013,0.0,2181.688460967026,10543.4456952503,0.20854017569191602,7.646464098990111e-29,0.0,0.0,lv
0.024000000000000014,0.0,2236.050434854625,10538.380652247608,0.2045372606874982,1.16074935335682e-28,0.0,0.0,lv
0.025000000000000015,0.0,2292.3549474550605,10533.318206702865,0.20055688978357725,1.790944068724268e-28,0.0,0.0,lv
0.026000000000000016,0.0,2350.5788111540505,10528.258357284043,0.19661721051125136,2.8077369371252107e-28,0.0,0.0,lv
0.027000000000000017,0.0,2410.698820394896,10523.201102659796,0.1927304466981964,4.471241960749702e-28,0.0,0.0,lv
0.028000000000000018,0.0,2472.691732851175,10518.146441499457,0.18890449312331342,7.230484746893358e-28,0.0,0.0,lv
0.02900000000000002,0.0,2536.5342538917057,10513.094372473048,0.18514416466009276,1.1869948344538237e-27,0.0,0.0,lv
0.03000000000000002,0.0,2602.2030238621046,10508.044894251267,0.1814521384392907,1.9776614240223015e-27,0.0,0.0,lv
0.03100000000000002,0.0,2669.674607789068,10502.998005505497,0.17782964232278808,3.343189163242203e-27,0.0,0.0,lv
0.03200000000000002,0.0,2738.9254871789726,10497.9537049078,0.17427694435344065,5.732767318508129e-27,0.0,0.0,lv
0.03300000000000002,0.0,2809.932053635017,10492.911991130924,0.17079369225730504,9.969061110250472e-27,0.0,0.0,lv
0.03400000000000002,0.0,2882.6706040598924,10487.872862848293,0.1673791436786693,1.7576250775202077e-26,0.0,0.0,lv
0.035000000000000024,0.0,2957.1173372458916,10482.836318734013,0.16403231904572618,3.141076172751215e-26,0.0,0.0,lv
0.036000000000000025,0.0,3033.248351683061,10477.802357462868,0.1607521010349854,5.688679379245129e-26,0.0,0.0,lv
0.037000000000000026,0.0,3111.039644439787,10472.770977710323,0.1575372980264627,1.0438248969066122e-25,0.0,0.0,lv
0.03800000000000003,0.0,3190.4671109899664,10467.742178152523,0.15438668379731627,1.9401312296396813e-25,0.0,0.0,lv
0.03900000000000003,0.0,3271.5065458774743,10462.715957466291,0.15129902185230598,3.6519701854659466e-25,0.0,0.0,lv
0.04000000000000003,0.0,3354.1336441225285,10457.69231432913,0.14827308001206757,6.960212975128484e-25,0.0,0.0,lv
0.04100000000000003,0.0,3438.324003286371,10452.671247419217,0.14530763893779486,1.3428406989959754e-24,0.0,0.0,lv
0.04200000000000003,0.0,3524.0531261206165,10447.652755415413,0.1424014969495812,2.622052566151913e-24,0.0,0.0,lv
0.04300000000000003,0.0,3611.296423736221,10442.636836997252,0.13955347261913692,5.180625182190433e-24,0.0,0.0,lv
0.04400000000000003,0.0,3700.029219234252,10437.623490844946,0.13676240604949402,1.035514906865885e-23,0.0,0.0,lv
0.04500000000000003,0.0,3790.2267517469973,10432.612715639385,0.13402715939401533,2.093504815558566e-23,0.0,0.0,lv
0.046000000000000034,0.0,3881.864180843355,10427.604510062134,0.1313466169431603,4.280016566621663e-23,0.0,0.0,lv
0.047000000000000035,0.0,3974.916591257164,10422.598872795435,0.1287196849710439,8.846706892682744e-23,0.0,0.0,lv
0.048000000000000036,0.0,4069.35899790125,10417.595802522206,0.12614529145222497,1.848390324521181e-22,0.0,0.0,lv
0.04900000000000004,0.0,4165.1663511335455,10412.59529792604,0.12362238571121079,3.902950524250497e-22,0.0,0.0,lv
0.05000000000000004,0.0,4262.313542244795,10407.597357691206,0.12114993803946589,8.327055052048265e-22,0.0,0.0,lv
0.05100000000000004,0.0,4360.775409140144,10402.601980502646,0.11872693929897396,1.7947370148678432e-21,0.0,0.0,lv
0.05200000000000004,0.0,4460.52674218933,10397.609165045978,0.1163524005225996,3.906909840428722e-21,0.0,0.0,lv
0.05300000000000004,0.0,4561.542290222413,10392.618910007493,0.11402535251665004,8.58818814775008e-21,0.0,0.0,lv
0.05400000000000004,0.0,4663.79676664987,10387.631214074156,0.11174484546840804,1.9059781442421317e-20,0.0,0.0,lv
0.05500000000000004,0.0,4767.264855687658,10382.646075933604,0.10950994856000218,4.269679748758317e-20,0.0,0.0,lv
0.05600000000000004,0.0,4871.921218669344,10377.663494274151,0.10731974958924106,9.652653563017905e-20,0.0,0.0,lv
0.057000000000000044,0.0,4977.7405004288485,10372.68346778478,0.10517335459765471,2.201838100449019e-19,0.0,0.0,lv
0.058000000000000045,0.0,5084.697335738532,10367.705995155147,0.1030698875057906,5.066694329382647e-19,0.0,0.0,lv
0.059000000000000045,0.0,5192.766355788605,10362.73107507558,0.10100848975571435,1.1759214293477268e-18,0.0,0.0,lv
0.060000000000000046,0.0,5301.922194694723,10357.75870623708,0.09898831996061751,2.7520734139084363e-18,0.0,0.0,lv
0.06100000000000005,0.0,5412.139496021686,10352.788887331319,0.09700855356141279,6.493575356036299e-18,0.0,0.0,lv
0.06200000000000005,0.0,5523.392919312009,10347.821617050637,0.09506838249018784,1.544415643353254e-17,0.0,0.0,lv
0.06300000000000004,0.0,5635.657146608824,10342.856894088047,0.09316701484038552,3.70182130963765e-17,0.0,0.0,lv
0.06400000000000004,0.0,5748.906888963401,10337.894717137233,0.09130367454357842,8.940306846202402e-17,0.0,0.0,lv
0.06500000000000004,0.0,5863.116892918201,10332.935084892548,0.0894776010527071,2.1751546217924956e-16,0.0,0.0,lv
0.06600000000000004,0.0,5978.261946956966,10327.977996049012,0.08768804903165307,5.330204514347988e-16,0.0,0.0,lv
0.06700000000000005,0.0,6094.316887913983,10323.02344930232,0.08593428805102006,1.3153133147858064e-15,0.0,0.0,lv
0.06800000000000005,0.0,6211.256607335105,10318.071443348832,0.08421560228999968,3.267849439887644e-15,0.0,0.0,lv
0.06900000000000005,0.0,6329.056057783697,10313.121976885575,0.0825312902441997,8.172567654766283e-15,0.0,0.0,lv
0.07000000000000005,0.0,6447.690259085059,10308.17504861025,0.0808806644393157,2.05700421350971e-14,0.0,0.0,lv
0.07100000000000005,0.0,6567.134304503378,10303.230657221218,0.07926305115052938,5.209653710335542e-14,0.0,0.0,lv
0.07200000000000005,0.0,6687.363366845586,10298.288801417515,0.0776777901275188,1.3273845226493922e-13,0.0,0.0,lv
0.07300000000000005,0.0,6808.35270448702,10293.34947989884,0.07612423432496843,3.401859927964118e-13,0.0,0.0,lv
0.07400000000000005,0.0,6930.077667313927,10288.412691365558,0.07460174963846906,8.767703190335867e-13,0.0,0.0,lv
0.07500000000000005,0.0,7052.513702578433,10283.478434518704,0.07310971464569968,2.2720784905393593e-12,0.0,0.0,lv
0.07600000000000005,0.0,7175.63636066176,10278.546708059976,0.07164752035278568,5.918990685191671e-12,0.0,0.0,lv
0.07700000000000005,0.0,7299.421300741806,10273.61751069174,0.07021456994572997,1.549808362163986e-11,0.0,0.0,lv
0.07800000000000006,0.0,7423.844296361565,10268.690841117026,0.06881027854681537,4.077875686038114e-11,0.0,0.0,lv
0.07900000000000006,0.0,7548.8812408950425,10263.76669803953,0.06743407297587907,1.0780419968939617e-10,0.0,0.0,lv
0.08000000000000006,0.0,7674.50815290764,10258.845080163612,0.06608539151636149,2.862883250463765e-10,0.0,0.0,lv
0.08100000000000006,0.0,7800.7011814082525,10253.925986194297,0.06476368368603426,7.635876277359804e-10,0.0,0.0,lv
0.08200000000000006,0.0,7927.4366109905,10249.009414837275,0.06346841001231357,2.045139508115772e-09,0.0,0.0,lv
0.08300000000000006,0.0,8054.690866860744,10244.095364798897,0.0621990418120673,5.499431969286537e-09,0.0,0.0,lv
0.08400000000000006,0.0,8182.440519750876,10239.18383478618,0.06095506097582595,1.4844518429214431e-08,0.0,0.0,lv
