t,P_Pa,V_m3
0.0,1526.3438533780773,0.00015310650533319333
0.001,1527.8369654815383,0.00015310650533319333
0.002,1531.9158644437255,0.00015310650533319333
0.003,1538.3810682606468,0.00015310650533319333
0.004,1547.1326455468457,0.00015310650533319333
0.005,1558.1021742659066,0.00015310650533319333
0.006,1571.2371211761529,0.00015310650533319333
0.007,1586.4944417031656,0.00015310650533319333
0.008,1603.837320532726,0.00015310650533319333
0.009000000000000001,1623.2332878091308,0.00015310650533319333
0.010000000000000002,1644.6530345410044,0.00015310650533319333
0.011000000000000003,1668.0696211150291,0.00015310650533319333
0.012000000000000004,1693.4579236955828,0.00015310650533319333
0.013000000000000005,1720.7942329224718,0.00015310650533319333
0.014000000000000005,1750.0559545663814,0.00015310650533319333
0.015000000000000006,1781.2213809685154,0.00015310650533319333
0.016000000000000007,1814.2695131295793,0.00015310650533319333
0.017000000000000008,1849.179919977963,0.00015310650533319333
0.01800000000000001,1885.9326255330373,0.00015310650533319333
0.01900000000000001,1924.5080173986355,0.00015310650533319333
0.02000000000000001,1964.8867718400402,0.00015310650533319333
0.02100000000000001,2007.0497919446875,0.00015310650533319333
0.022000000000000013,2050.9781562410913,0.00015310650533319333
0.023000000000000013,2096.6530757757064,0.00015310650533319333
0.024000000000000014,2144.0558581024816,0.00015310650533319333
0.025000000000000015,2193.1678769763016,0.00015310650533319333
0.026000000000000016,2243.970546793839,0.00015310650533319333
0.027000000000000017,2296.445301017095,0.00015310650533319333
0.028000000000000018,2350.573573962293,0.00015310650533319333
0.02900000000000002,2406.336785451368,0.00015310650533319333
0.03000000000000002,2463.7163279132687,0.00015310650533319333
0.03100000000000002,2522.693555593479,0.00015310650533319333
0.03200000000000002,2583.2497755872037,0.00015310650533319333
0.03300000000000002,2645.3662404574393,0.00015310650533319333
0.03400000000000002,2709.0241422364097,0.00015310650533319333
0.035000000000000024,2774.2046076392553,0.00015310650533319333
0.036000000000000025,2840.8886943438383,0.00015310650533319333
0.037000000000000026,2909.05738821123,0.00015310650533319333
0.03800000000000003,2978.6916013386617,0.00015310650533319333
0.03900000000000003,3049.7721708511176,0.00015310650533319333
0.04000000000000003,3122.2798583498375,0.00015310650533319333
0.04100000000000003,3196.1953499462766,0.00015310650533319333
0.04200000000000003,3271.499256818696,0.00015310650533319333
0.04300000000000003,3348.172116236017,0.00015310650533319333
0.04400000000000003,3426.1943929999006,0.00015310650533319333
0.04500000000000003,3505.5464812614314,0.00015310650533319333
0.046000000000000034,3586.2087066735558,0.00015310650533319333
0.047000000000000035,3668.161328844462,0.00015310650533319333
0.048000000000000036,3751.3845440606237,0.00015310650533319333
0.04900000000000004,3835.858488251384,0.00015310650533319333
0.05000000000000004,3921.5632401695984,0.00015310650533319333
0.05100000000000004,4008.4788247652777,0.00015310650533319333
0.05200000000000004,4096.58521673127,0.00015310650533319333
0.05300000000000004,4185.8623442018525,0.00015310650533319333
0.05400000000000004,4276.2900925867825,0.00015310650533319333
0.05500000000000004,4367.848308524798,0.00015310650533319333
0.05600000000000004,4460.516803941874,0.00015310650533319333
0.057000000000000044,4554.27536020073,0.00015310650533319333
0.058000000000000045,4649.103732329087,0.00015310650533319333
0.059000000000000045,4744.981653315197,0.00015310650533319333
0.060000000000000046,4841.888838459923,0.00015310650533319333
0.06100000000000005,4939.80498977553,0.00015310650533319333
0.06200000000000005,5038.7098004219615,0.00015310650533319333
0.06300000000000004,5138.5829591720685,0.00015310650533319333
0.06400000000000004,5239.404154897828,0.00015310650533319333
0.06500000000000004,5341.153081070123,0.00015310650533319333
0.06600000000000004,5443.809440265148,0.00015310650533319333
0.06700000000000005,5547.352948670963,0.00015310650533319333
0.06800000000000005,5651.763340588146,0.00015310650533319333
0.06900000000000005,5757.020372918843,0.00015310650533319333
0.07000000000000005,5863.103829638924,0.00015310650533319333
0.07100000000000005,5969.993526248266,0.00015310650533319333
0.07200000000000005,6077.669314194484,0.00015310650533319333
0.07300000000000005,6186.111085265744,0.00015310650533319333
0.07400000000000005,6295.298775948542,0.00015310650533319333
0.07500000000000005,6405.212371746636,0.00015310650533319333
0.07600000000000005,6515.83191145748,0.00015310650533319333
0.07700000000000005,6627.137491402829,0.00015310650533319333
0.07800000000000006,6739.109269610311,0.00015310650533319333
0.07900000000000006,6851.72746994305,0.00015310650533319333
0.08000000000000006,6964.972386174545,0.00015310650533319333
0.08100000000000006,7078.824386006209,0.00015310650533319333
0.08200000000000006,7193.26391502522,0.00015310650533319333
0.08300000000000006,7308.271500600355,0.00015310650533319333
0.08400000000000006,7423.827755713799,0.00015310650533319333
0.08500000000000006,7539.913382726953,0.00015310650533319333
0.08600000000000006,7656.50917707844,0.00015310650533319333
0.08700000000000006,7773.59603091269,0.00015310650533319333
0.08800000000000006,7891.154936637574,0.00015310650533319333
0.08900000000000007,8009.166990409645,0.00015310650533319333
0.09000000000000007,8127.613395545806,0.00015310650533319333
0.09100000000000007,8246.475465860143,0.00015310650533319333
0.09200000000000007,8365.734628924945,0.00015310650533319333
0.09300000000000007,8485.372429254972,0.00015310650533319333
0.09400000000000007,8605.370531414073,0.00015310650533319333
0.09500000000000007,8725.710723043512,0.00015310650533319333
0.09600000000000007,8846.374917811272,0.00015310650533319333
0.09700000000000007,8967.345158281849,0.00015310650533319333
0.09800000000000007,9088.60361870605,0.00015310650533319333
0.09900000000000007,9210.132607730413,0.00015310650533319333
0.10000000000000007,9331.914571025964,0.00015310650533319333
0.10100000000000008,9453.932093836123,0.00015310650533319333
0.10200000000000008,9576.16790344355,0.00015310650533319333
