t,P_LA(Pa),P_LV(Pa),P_AO(Pa),s_mitral,s_aortic,Q_mitral(m3/s),Q_aortic(m3/s),mode
0.0,30.35048384929655,1526.3438533780773,10660.661656615384,6.695776200034044e-07,8.461370252733952e-32,0.0,0.0,full
0.001,32.19324659601621,1527.8369654815383,10655.536502863273,1.3074346713497226e-06,1.6930478986755772e-31,0.0,0.0,full
0.002,34.03130703255311,1531.9158644437255,10650.413977395137,1.9022097206666893e-06,2.561169940467019e-31,0.0,0.0,full
0.003,35.86468202914782,1538.3810682606468,10645.29407886314,2.444705584295419e-06,3.472401691727662e-31,0.0,0.0,full
0.004,37.693388405049895,1547.1326455468457,10640.176805920133,2.9278137225563996e-06,4.452030002295168e-31,0.0,0.0,full
0.005,39.517442928480556,1558.1021742659066,10635.062157219661,3.3466345571064714e-06,5.530572124842924e-31,0.0,0.0,full
0.006,41.33686231659881,1571.2371211761529,10629.950131415959,3.6985227419978866e-06,6.746057409282796e-31,0.0,0.0,full
0.007,43.151663235470664,1586.4944417031656,10624.84072716395,3.983018216980935e-06,8.147057754725269e-31,0.0,0.0,full
0.008,44.96186230004161,1603.837320532726,10619.73394311925,4.201665145304723e-06,9.796842353896821e-31,0.0,0.0,full
0.009000000000000001,46.76747607411213,1623.2332878091308,10614.629777938164,4.357738157545607e-06,1.1779182322629153e-30,0.0,0.0,full
0.010000000000000002,48.56852107031648,1644.6530345410044,10609.528230277683,4.455903909706069e-06,1.4206571414557678e-30,0.0,0.0,full
0.011000000000000003,50.36501375010423,1668.0696211150291,10604.429298795489,4.5018490855172296e-06,1.7231999917978182e-30,0.0,0.0,full
0.012000000000000004,52.15697052372506,1693.4579236955828,10599.332982149952,4.501904971258905e-06,2.1065988919333686e-30,0.0,0.0,full
0.013000000000000005,53.94440775021623,1720.7942329224718,10594.239279000132,4.482299824339774e-06,2.600147269744566e-30,0.0,0.0,full
0.014000000000000005,55.72734173739324,1750.0559545663814,10589.148188005773,4.445873885487914e-06,3.245048687697295e-30,0.0,0.0,full
0.015000000000000006,57.50578874184304,1781.2213809685154,10584.059707827308,4.395397305126003e-06,4.09987677273814e-30,0.0,0.0,full
