t,P_PV(Pa),P_LA(Pa),P_LV_raw(Pa),P_LV_eff(Pa),mitral_open,aortic_open
0.0,1599.8684160000003,1333.22368,9509.594604314,9509.594604314,0,0
0.1,1599.8684160000003,1333.22368,26641.095755693863,26641.095755693863,0,1
0.2,1599.8684160000003,1333.22368,46816.57894400001,46816.57894400001,0,1
0.30000000000000004,1599.8684160000003,1333.22368,59671.68965841188,59671.68965841188,0,1
0.4,1599.8684160000003,1333.22368,58602.62448681412,58602.62448681412,0,1
0.5,1599.8684160000003,1333.22368,44158.57327166031,44158.57327166031,0,1
0.6,1599.8684160000003,1333.22368,23759.594604314003,23759.594604314003,0,1
0.7,1599.8684160000003,1333.22368,7884.854936143506,7884.854936143506,0,0
0.7999999999999999,1599.8684160000003,1333.22368,4689.372323086544,4689.372323086544,0,0
0.8999999999999999,1599.8684160000003,1333.22368,15814.69925366451,15814.69925366451,0,1
0.9999999999999999,1599.8684160000003,1333.22368,35545.64014712811,35545.64014712811,0,1
1.0999999999999999,1599.8684160000003,1333.22368,53746.20647010573,53746.20647010573,0,1
1.2,1599.8684160000003,1333.22368,61066.578944,61066.578944,0,1
1.3,1599.8684160000003,1333.22368,53746.20647010572,53746.20647010572,0,1
1.4000000000000001,1599.8684160000003,1333.22368,35545.64014712809,35545.64014712809,0,1
1.5000000000000002,1599.8684160000003,1333.22368,15814.69925366448,15814.69925366448,0,1
1.6000000000000003,1599.8684160000003,1333.22368,4689.372323086523,4689.372323086523,0,0
1.7000000000000004,1599.8684160000003,1333.22368,7884.854936143551,7884.854936143551,0,0
1.8000000000000005,1599.8684160000003,1333.22368,23759.594604314112,23759.594604314112,0,1
1.9000000000000006,1599.8684160000003,1333.22368,44158.57327166043,44158.57327166043,0,1
2.0000000000000004,1599.8684160000003,1333.22368,58602.62448681417,58602.62448681417,0,1
2.1000000000000005,1599.8684160000003,1333.22368,59671.68965841184,59671.68965841184,0,1
2.2000000000000006,1599.8684160000003,1333.22368,46816.57894399988,46816.57894399988,0,1
2.3000000000000007,1599.8684160000003,1333.22368,26641.09575569368,26641.09575569368,0,1
2.400000000000001,1599.8684160000003,1333.22368,9509.5946043139,9509.5946043139,0,0
2.500000000000001,1599.8684160000003,1333.22368,4222.704926004233,4222.704926004233,0,0
