t,P_LA(Pa),P_LV(Pa),P_AO(Pa),s_mitral,s_aortic,Q_mitral(m3/s),Q_aortic(m3/s),mode
0.0,30.35048384929655,0.0,10660.661656615384,0.027833366235134622,9.024256939227076e-37,5.6317075492733944e-09,0.0,la
0.001,32.191090278280136,0.0,10655.536502863273,0.05444528270193784,1.7951148985968513e-36,1.1684353404563765e-08,0.0,la
0.002,34.026625803012145,0.0,10650.413977395137,0.07989607201595814,2.679922680784215e-36,1.8123958304116784e-08,0.0,la
0.003,35.85710036982818,0.0,10645.29407886314,0.10424302864085239,3.5586635077059054e-36,2.4919018272199453e-08,0.0,la
0.004,37.682524656223684,0.0,10640.176805920133,0.12754057071079364,4.433115235911469e-36,3.204033800318881e-08,0.0,la
0.005,39.50291001163322,0.0,10635.062157219661,0.1498403842553484,5.305022973173165e-36,3.946087476898381e-08,0.0,la
0.006,41.31826840229232,0.0,10629.950131415959,0.17119156020682683,6.176102822393599e-36,4.7155592218885706e-08,0.0,la
0.007,43.128612359918165,0.0,10624.84072716395,0.19164072455109765,7.048045516160053e-36,5.5101323476920947e-08,0.0,la
0.008,44.93395493396095,0.0,10619.73394311925,0.21123216196479977,7.922519950245058e-36,6.327664297552969e-08,0.0,la
0.009000000000000001,46.73430964719399,0.0,10614.629777938164,0.2300079332647257,8.801176624039216e-36,7.166174649669881e-08,0.0,la
0.010000000000000002,48.52969045442439,0.0,10609.528230277683,0.24800798697885523,9.685650995607926e-36,8.02383389220584e-08,0.0,la
0.011000000000000003,50.32011170411976,0.0,10604.429298795489,0.26527026533303444,1.057756675878774e-35,8.898952922226521e-08,0.0,la
0.012000000000000004,52.10558810275906,0.0,10599.332982149952,0.281830804932589,1.147853904947966e-35,9.789973224324346e-08,0.0,la
0.013000000000000005,53.88613468172815,0.0,10594.239279000132,0.29772383240418876,1.239017758805525e-35,1.0695457687261582e-07,0.0,la
0.014000000000000005,55.66176676659102,0.0,10589.148188005773,0.3129818552500086,1.3314089764566302e-35,1.1614082019400619e-07,0.0,la
