t,P_Pa,V_m3
0.0,1526.3438533780773,0.00015310650533319333
0.001,1527.5463196220903,0.00015310650533319333
0.002,1530.8313045420332,0.00015310650533319333
0.003,1536.0383514912317,0.00015310650533319333
0.004,1543.0872750244082,0.00015310650533319333
0.005,1551.9233560269495,0.00015310650533319333
0.006,1562.5047562466084,0.00015310650533319333
0.007,1574.7973597653142,0.00015310650533319333
0.008,1588.7721445948616,0.00015310650533319333
0.009000000000000001,1604.4036625933604,0.00015310650533319333
0.010000000000000002,1621.6690828123492,0.00015310650533319333
0.011000000000000003,1640.5475516624203,0.00015310650533319333
0.012000000000000004,1661.0197448269441,0.00015310650533319333
0.013000000000000005,1683.0675419529025,0.00015310650533319333
0.014000000000000005,1706.6737835467602,0.00015310650533319333
0.015000000000000006,1731.8220849475285,0.00015310650533319333
0.016000000000000007,1758.4966911448691,0.00015310650533319333
0.017000000000000008,1786.6823615814985,0.00015310650533319333
0.01800000000000001,1816.3642774533398,0.00015310650533319333
0.01900000000000001,1847.527966212926,0.00015310650533319333
0.02000000000000001,1880.1592394475203,0.00015310650533319333
0.02100000000000001,1914.2441413089089,0.00015310650533319333
0.022000000000000013,1949.768905376908,0.00015310650533319333
0.023000000000000013,1986.7199183429575,0.00015310650533319333
0.024000000000000014,2025.0836892672617,0.00015310650533319333
0.025000000000000015,2064.8468234343977,0.00015310650533319333
0.026000000000000016,2105.9960000359874,0.00015310650533319333
0.027000000000000017,2148.5179530637397,0.00015310650533319333
0.028000000000000018,2192.399454915219,0.00015310650533319333
0.02900000000000002,2237.62730230718,0.00015310650533319333
0.03000000000000002,2284.188304163953,0.00015310650533319333
0.03100000000000002,2332.069271205929,0.00015310650533319333
0.03200000000000002,2381.2570070091774,0.00015310650533319333
0.03300000000000002,2431.7383003443097,0.00015310650533319333
0.03400000000000002,2483.499918632747,0.00015310650533319333
0.035000000000000024,2536.528602383139,0.00015310650533319333
0.036000000000000025,2590.8110604908866,0.00015310650533319333
0.037000000000000026,2646.3339663004226,0.00015310650533319333
0.03800000000000003,2703.083954343842,0.00015310650533319333
0.03900000000000003,2761.0476176810907,0.00015310650533319333
0.04000000000000003,2820.2115057767232,0.00015310650533319333
0.04100000000000003,2880.562122856486,0.00015310650533319333
0.04200000000000003,2942.085926694017,0.00015310650533319333
0.04300000000000003,3004.769327783932,0.00015310650533319333
0.04400000000000003,3068.5986888626717,0.00015310650533319333
0.04500000000000003,3133.5603247429017,0.00015310650533319333
0.046000000000000034,3199.6405024310257,0.00015310650533319333
0.047000000000000035,3266.825441500688,0.00015310650533319333
0.048000000000000036,3335.101314697964,0.00015310650533319333
0.04900000000000004,3404.4542487564368,0.00015310650533319333
0.05000000000000004,3474.870325402537,0.00015310650533319333
0.05100000000000004,3546.3355825334,0.00015310650533319333
0.05200000000000004,3618.8360155512255,0.00015310650533319333
0.05300000000000004,3692.357578839532,0.00015310650533319333
0.05400000000000004,3766.886187368074,0.00015310650533319333
0.05500000000000004,3842.4077184143093,0.00015310650533319333
0.05600000000000004,3918.908013390352,0.00015310650533319333
0.057000000000000044,3996.372879765252,0.00015310650533319333
0.058000000000000045,4074.7880930733018,0.00015310650533319333
0.059000000000000045,4154.139398999768,0.00015310650533319333
0.060000000000000046,4234.412515536125,0.00015310650533319333
0.06100000000000005,4315.59313519749,0.00015310650533319333
0.06200000000000005,4397.666927295424,0.00015310650533319333
0.06300000000000004,4480.619540259888,0.00015310650533319333
0.06400000000000004,4564.43660400441,0.00015310650533319333
0.06500000000000004,4649.103732329087,0.00015310650533319333
0.06600000000000004,4734.606525356297,0.00015310650533319333
0.06700000000000005,4820.930571994414,0.00015310650533319333
0.06800000000000005,4908.061452425043,0.00015310650533319333
0.06900000000000005,4995.984740609682,0.00015310650533319333
0.07000000000000005,5084.686006811863,0.00015310650533319333
0.07100000000000005,5174.150820131141,0.00015310650533319333
0.07200000000000005,5264.364751045503,0.00015310650533319333
0.07300000000000005,5355.313373958984,0.00015310650533319333
0.07400000000000005,5446.982269751395,0.00015310650533319333
0.07500000000000005,5539.357028327376,0.00015310650533319333
0.07600000000000005,5632.423251162029,0.00015310650533319333
0.07700000000000005,5726.1665538406305,0.00015310650533319333
0.07800000000000006,5820.5725685899715,0.00015310650533319333
0.07900000000000006,5915.626946799132,0.00015310650533319333
0.08000000000000006,6011.315361527484,0.00015310650533319333
0.08100000000000006,6107.623509997997,0.00015310650533319333
0.08200000000000006,6204.537116073834,0.00015310650533319333
0.08300000000000006,6302.041932716546,0.00015310650533319333
0.08400000000000006,6400.123744424104,0.00015310650533319333
0.08500000000000006,6498.768369647199,0.00015310650533319333
0.08600000000000006,6597.961663182276,0.00015310650533319333
0.08700000000000006,6697.689518539924,0.00015310650533319333
0.08800000000000006,6797.937870287211,0.00015310650533319333
0.08900000000000007,6898.692696362787,0.00015310650533319333
0.09000000000000007,6999.940020363483,0.00015310650533319333
0.09100000000000007,7101.665913801348,0.00015310650533319333
0.09200000000000007,7203.856498330038,0.00015310650533319333
0.09300000000000007,7306.497947939594,0.00015310650533319333
0.09400000000000007,7409.576491118693,0.00015310650533319333
0.09500000000000007,7513.078412983471,0.00015310650533319333
0.09600000000000007,7616.990057372169,0.00015310650533319333
0.09700000000000007,7721.297828904793,0.00015310650533319333
0.09800000000000007,7825.988195007161,0.00015310650533319333
0.09900000000000007,7931.047687898632,0.00015310650533319333
0.10000000000000007,8036.46290654294,0.00015310650533319333
0.10100000000000008,8142.220518561629,0.00015310650533319333
0.10200000000000008,8248.307262109496,0.00015310650533319333
